date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:01:02	224693/224693	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Dec%202025%2004:01:01%20GMT	https://invitarte.me/demo-arlet-carlos	C:/Users/dell/Desktop/cc/invitarte.me/demo-arlet-carlos.html	(from )
22:01:03	200/200	---MCZ	200	added ('OK')	text/plain	date:Fri,%2005%20Dec%202025%2004:01:02%20GMT	https://invitarte.me/robots.txt		(from )
22:01:04	9420/9420	---MC-	200	added ('OK')	application/rss+xml	etag:%22c1134d184ad155eb5c13ff725192ac14%22	https://invitarte.me/feed	C:/Users/dell/Desktop/cc/invitarte.me/feed	(from https://invitarte.me/demo-arlet-carlos)
22:01:05	679/679	---M--	200	added ('OK')	application/rss+xml	etag:%22c1134d184ad155eb5c13ff725192ac14%22	https://invitarte.me/comments/feed	C:/Users/dell/Desktop/cc/invitarte.me/comments/feed	(from https://invitarte.me/demo-arlet-carlos)
22:01:05	353/353	---MCZ	200	added ('OK')	text/css	etag:W/%2268dcc478-161%22	https://invitarte.me/wp-content/plugins/wpc-composite-products/assets/css/blocks.css?ver=7.6.2	C:/Users/dell/Desktop/cc/invitarte.me/wp-content/plugins/wpc-composite-products/assets/css/blocks4ae6.css	(from https://invitarte.me/demo-arlet-carlos)
22:01:06	528/528	---MCZ	200	added ('OK')	text/css	etag:W/%2265a6dece-210%22	https://invitarte.me/wp-content/plugins/elegro-payment/elegro-style.css	C:/Users/dell/Desktop/cc/invitarte.me/wp-content/plugins/elegro-payment/elegro-style.css	(from https://invitarte.me/demo-arlet-carlos)
22:01:06	23976/23976	---MCZ	200	added ('OK')	text/css	etag:W/%2265b80726-5da8%22	https://invitarte.me/wp-content/plugins/trx_addons/css/font-icons/css/trx_addons_icons.css	C:/Users/dell/Desktop/cc/invitarte.me/wp-content/plugins/trx_addons/css/font-icons/css/trx_addons_icons.css	(from https://invitarte.me/demo-arlet-carlos)
22:01:06	2164/2164	---MCZ	200	added ('OK')	text/css	etag:W/%2265b80726-874%22	https://invitarte.me/wp-content/plugins/trx_addons/addons/qw-extension/css/font-icons/css/qw_extension_icons.css	C:/Users/dell/Desktop/cc/invitarte.me/wp-content/plugins/trx_addons/addons/qw-extension/css/font-icons/css/qw_extension_icons.css	(from https://invitarte.me/demo-arlet-carlos)
22:01:06	2110/2110	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Dec%202025%2004:01:05%20GMT	https://use.typekit.net/qwx7vet.css	C:/Users/dell/Desktop/cc/use.typekit.net/qwx7vet.css	(from https://invitarte.me/demo-arlet-carlos)
22:01:07	35882/35882	---MCZ	200	added ('OK')	text/css	etag:W/%2265b80709-8c2a%22	https://invitarte.me/wp-content/themes/invitarte/skins/default/css/font-icons/css/fontello.css	C:/Users/dell/Desktop/cc/invitarte.me/wp-content/themes/invitarte/skins/default/css/font-icons/css/fontello.css	(from https://invitarte.me/demo-arlet-carlos)
22:01:07	41838/41838	---MCZ	200	added ('OK')	text/css	etag:W/%22686db9be-a36e%22	https://invitarte.me/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.9.1	C:/Users/dell/Desktop/cc/invitarte.me/wp-content/plugins/instagram-feed/css/sbi-styles.min4d80.css	(from https://invitarte.me/demo-arlet-carlos)
